"1","அகராதி","  akarāti DikSanari டிக்ஷனரி dictionary"
"2","அக்கா","  akkā akkaa அக்கா elder sister"
"3","அங்கே","  angkē [அங்கு] anke அங்கெ there"
"4","அசை","  acai 2./6. ace-/= அசெ move, move about, stir; move, shake (head); agitate, shake, disturb (attached movement, usually one end attached and one free)"
"5","அஞ்சு","  añcu 3. bayappaTu (4) பயப்படு fear, be afraid"
"6","அடக்கு","  aṭakku 3. aTakku- அடக்கு put down, restrain, control, subordinate; contain"
"7","அடங்கு","  aṭangku 3. aTanku- அடங்கு submit, obey; be subdued; be contained; calm down (intr.)"
"8","அ","  a டீ (a)Tii (அ)டீ similar form for female"
"9","அடாடா","  aṭāṭā , அடடா aTeeTee அடேடே interjection expressing mild surprise: oh! [cf. (அ)டா]"
"10","அடி","  aṭi 6. (a)Tii= அடி strike, beat; blow (of wind), fall (of rain), beat down (of sun); print (a book, etc.)"
"11","அடி","  aṭi aTi அடி base, bottom; foot; step"
"12","அடியில்","  aṭiyil aTiyle அடிய்லெ at the base of, at the foot of, underneath (post. + dat./obl.)"
"13","அடுத்த","  aṭutta aTutta அடுத்த next; (with time words) the one after the coming one"
"14","அடுப்பு","  aṭuppu aTuppu அடுப்பு place for cooking fire, hearth, stove"
"15","அடை","  aṭai 2. 1. keTekkum. கெடெக்கும் 2. ceeru- சேரு 1. obtain, get 2. reach, approach"
"16","அடை","  aṭai 6. aTe= அடெ shut, close (door, window, top, etc.); lock"
"17","அட்வான்ஸ்","  aṭvāṉs , முன்பணம் aDvaansu அட்வான்ஸு advance (payment)"
"18","அணி","  aṇi . 2. pooTu (pooTa, pooTTu) போடு (போட, போட்டு) wear, put on (clothes, jewels); [adorn]"
"19","அணில்","  aṇil aNilu அணிலு squirrel"
"20","அணை","  aṇai 6. aNe= அணெ turn off, switch off (light)"
"21","அண்ணன்","  aṇṇaṉ aNNan அண்ணன் elder brother"
"22","அண்ணி","  aṇṇi aNNi அண்ணி elder brother's wife"
"23","அதிகம்","  atikam atikam, jaasti அதிகம், ஜாஸ்தி much, a lot (of); excess"
"24","அதிக","  atika rompa ரொம்ப very"
"25","அதிகாரம்","  atikāram atikaaram அதிகாரம் authority, power; command, jurisprudence; chapter (of book)"
"26","அது","  atu atu அது it, that, that thing"
"27","அத்தனை","  attaṉai attane, avaLavu அத்தனெ, அவளவு that many; so many, so much"
"28","அத்தான்","  attāṉ attaan அத்தான் elder sister's husband"
"29","அத்தை","  attai atte அத்தெ father's sister; mother-in-law (husband's mother), older woman on father's side"
"30","அந்த","  anta anta அந்த that, those (adj.)"
"31","அபாயம்","  apāyam apaayam அபாயம் danger"
"32","அபிவிருத்தி","  apivirutti முன்னேற்றம் apivirutti அபிவிருத்தி development, progress"
"33","அப்படி","  appaṭi appaTi அப்படி like that, in that manner, so"
"34","அப்பா","  appā appaa அப்பா father, address to older male inferiors or of endearment"
"35","அப்புறம்","  appuṟam appram அப்பறம் 1. that side; farther, beyond 2. moreover; then, afterwards; later 3. [on the far side of, beyond (post. + dat.)] 4. after (post. + past pt.)"
"36","அப்போது","  appōtu , அப்பொழுது appa அப்ப then, at that time"
"37","அமெரிக்கா","  amerikkā amerikkaa அமெரிக்கா America, the United States"
"38","அமெரிக்க","  amerikka amerikka அமெரிக்க American"
"39","அமை","  amai 2./6. ame-/= அமெ 2. become settled; be suitable, fit 6. settle, adjust; construct, install"
"40","அமைதி","  amaiti 1. ameyti அமெய்தி 2. caantam சாந்தம் 1. peace, tranquility (political) 2. calmness (personal)"
"41","அமைப்பு","  amaippu ameppu அமெப்பு structure, mechanism, construction, establishment; organization, constitution, institution"
"42","அம்மா","  ammā [தாய்] ammaa அம்மா mother; matron, lady, form of address to older woman or of endearment"
"43","அம்மாடியோ","  ammāṭiyō ammaaTiyoo அம்மாடியோ oh my gosh! (expression of mild surprise)"
"44","அரசன்","  aracaṉ raajaa ராஜா king"
"45","அரசு","  aracu carkkaaru சர்க்காரு government; royalty, kingdom"
"46","அரிசி","  arici arici அரிசி uncooked (but husked) rice."
"47","அருமை","  arumai arume அருமெ rareness; dearness, preciousness"
"48","அரு","  aru (ம்) rare, dear"
"49","அரை","  arai are அரெ half, 1/2 (fraction); waist"
"50","அலமாரி","  alamāri alamaari அலமாரி almirah, a (wall) cabinet with doors, cupboard; any shelf"
"51","அலை","  alai ale அலெ wave"
