"1","a"
"11831","a (alpha) cell"
"11832","a and b positions of gauss"
"11833","a axis"
"11834","a b c (automatic bias compensation)"
"11835","a battery"
"11836","a bill further to amend"
"11837","A bomb"
"11838","a brief history of the case is as follows"
"11839","a brief note is placed below"
"11840","a brief summary of the case is placed below"
"11841","a c fracture"
"11842","a climate"
"11843","a d (analog to digital)"
"11844","a dcux"
"11845","a file"
"11846","a fond"
"11847","a fortiori"
"11848","a frame"
"11849","a huis clos"
"11850","a letter to this effect"
"11851","a line"
"11852","a list is placed below"
"11853","a list of cases disposed of is placed below"
"11854","a lot, a good deal, a great deal, much, very much"
"11855","a matter of extreme urgency"
"11856","a mensa et toro"
"11857","a optimum"
"11858","a outrance."
"11859","a per se"
"11860","a piscis australis"
"11861","a port"
"11862","a posteriori"
"11863","a posteriori reasoning"
"11864","a priori"
"11865","a priori probability"
"11866","a priori reasoning"
"11867","a standard"
"11868","a tilt"
"11869","a to b (normal junction) working"
"11870","a weigh"
"11871","a. b. c. process"
"11872","a. c. (alternating current)"
"11873","a. c. /d. c. receiver"
"11874","a. c. bridge"
"11875","a. c. generator"
"11876","a. c. motor"
"11877","a. c. push pull amplifier"
"11878","a. c. voltage amplification"
"11879","a. d. p. (automatic data processing)"
"11880","a. designating grain size"
"11881","a. e. g. cupping test"
"11882","a. f. c. (automtic frequency control)"
"11883","a. f. triode"
"11884","a. g. c. (automatic gain control)"
"11885","a. g. c. automatic gain control"
"11886","a. l. f.(absorption limiting frequency)"
"11887","a. m. (amplitude modulation)"
"11888","a. memo."
"11889","a. r. d. process"
"11890","a. r. e. smoothing process"
"11891","a. s. t. m. comparative method"
"11892","a. v. c. (automatic volume control)"
"11893","a.c. (alternating current)"
"11894","a.c. d.c. converter"
"11895","a.c. d.c. receiver"
"11896","a.c. measurement"
"11897","a.c. output voltage"
"11898","a.c.generator"
"11899","a.m. (ante meridiem)"
"11900","aa"
"11901","aa channel"
"11902","aa lava"
"11903","aaa american association for artificial intelligence"
"11904","aal"
"11905","aal root"
"11906","aamrak"
"11907","aard vark"
"11908","aard wolf"
"11909","aaron"
"11910","Aaroniic, Aaronical"
"11911","aaron’s rod"
"2","aasvogel"
"11912","ab"
"11913","ab extra"
"11914","ab initio"
"11915","ab urbe condita"
"11916","aba"
"11917","aba, abaya, abba"
"11918","abaca"
"11919","abaca fibre"
"11920","abaca rope"
"3","aback"
"11921","abacterial"
"11922","abactor"
"4","abacus"
"11923","Abaddon"
"11924","abaft"
"11925","abaft."
"11926","abalone"
"11927","abamurus"
"5","abandon"
"11928","abandon oneself to"
"11929","abandoned"
"11930","abandoned mine"
"11931","abandoned mines"
"11932","abandoned property"
"11933","abandoned workings"
"11934","abandonee"
"11935","abandonment"
"11936","abandonment contour"
"11937","abandonment of claim"
"11938","abandonment of revenue"
"11939","abandonment of right"
"11940","abaric point"
"11941","abarognosis"
"6","abase"
"11942","abasement"
"7","abash"
"11943","abashment"
"11944","abask"
"11945","abassi"
"11946","abat chauvee"
"11947","abat jour"
"11948","abat vent"
"8","abate"
"11949","abatement"
"11950","abatement cost"
"11951","abatement of charges"
"11952","abatement of law"
"11953","abatement of nuisance"
"11954","abatement of suit"
"11955","abatement [pollution]"
"9","abatis"
"11956","abatis, abattis"
"11957","abatoir"
"10","abattoir"
"11958","abaxial"
"11959","abaxial surface"
"11960","abb"
"11961","Abba"
"11962","abba mantle cloth"
"11","abbacy"
"11963","abbatial"
"11964","abbazzo"
"11965","abbe"
"11966","abbe condenser"
"11967","abbe number"
"11968","abbe prism"
"11969","abbe refractometer"
"11970","abberation"
"11971","abbes immersion objective"
"11972","abbes sine condition"
"12","abbess"
"13","abbey"
"11973","abbe’s sine condition"
"11974","abbe’s theory"
"14","abbot"
"11975","Abbot of Misrule,Abbot of Unreason"
"15","abbreviate"
"11976","abbreviated addressing"
"11977","abbreviated dialing"
"11978","abbreviated dialling"
"11979","abbreviation"
"11980","abc analysis"
"11981","Abderite"
"11982","abdicant"
"16","abdicate"
"11983","abdication"
"17","abdomen"
"11984","abdominal"
"11985","abdominal adiposity"
"11986","abdominal airsac"
"11987","abdominal aorta"
"11988","abdominal band"
"11989","abdominal binder"
"11990","abdominal breathing"
"11991","abdominal catastrophe"
"11992","abdominal cavity"
"11993","abdominal cramp"
"11994","abdominal decompression"
"11995","abdominal delivery"
"11996","abdominal discomfort"
"11997","abdominal distension"
"11998","abdominal epilepsy"
"11999","abdominal fat"
"12000","abdominal muscle"
"12001","abdominal muscles"
"12002","abdominal organ"
"12003","abdominal pain"
"12004","abdominal pore"
"12005","abdominal respiration"
"12006","abdominal sac"
"12007","abdominal shield"
"12008","abdominal touch"
"12009","abdominal vein"
"12010","abdominal viscera"
"12011","abdominal wall"
"12012","abdominal white"
"12013","abdominour"
"12014","abdominous"
"12015","abducens"
"12016","abducens nerve"
"12017","abducent"
"12018","abducent nerve"
"18","abduct"
"12019","abduction"
"12020","abductor"
"12021","abductor muscle"
"12022","abductor pollicis brevis muscle"
"12023","abductor pollicis longus muscle"
"12024","abductors"
"12025","abeam"
"12026","abecedarian"
"19","abed"
"12027","abegg and bodlanders rule"
"12028","abegg and bodlanders valency rule"
"12029","abegg’s rule"
"12030","abel tester"
"12031","abel theorem"
"20","abele"
"12032","abelian extension"
"12033","abelian field"
"12034","abelian group"
"12035","abelian theorems"
"12036","abelite"
"12037","abell richness classes"
"12038","abel’s inequality"
"12039","abel’s integral equation"
"12040","abel’s problem"
"12041","abel’s reagent"
"12042","abel’s summation method"
"12043","abenant"
"12044","abend"
"12045","Aberdeen"
"12046","Aberdeen Angus"
"12047","Aberdeen terrier"
"12048","aberdeving"
"12049","aberglaube"
"12050","aberrant"
"12051","aberrant behavior"
"12052","aberrant behaviour"
"21","aberrate"
"12053","aberration"
"12054","aberrations"
"22","abet"
"12055","abetment"
"12056","abetment by conspiracy"
"12057","abetment of assault"
"12058","abetment of suicide"
"12059","abetter, abettor"
"12060","abettor"
"23","abeyance"
"12061","abherent"
"24","abhor"
"12062","abhorrence"
"12063","abhorrent"
"12064","abidance"
"25","abide"
"12065","abide by rules"
"26","abiding"
"12066","abiding interest"
"12067","abietine"
"27","abigail"
"12068","abildguards method"
"12069","abiligy"
"12070","ability"
"12071","ability grouping"
"12072","ability to be modulated"
"12073","ability to pay"
"12074","ability to save"
"12075","ability [general]"
