"1","தொல்காப்பியம்","1"
"2","சங்க இலக்கியம்","2"
"3","சிலப்பதிகாரம்","3"
"4","மணிமேகலை","4"
"5","வளையாபதி","5"
"6","சீவக சிந்தாமணி","6"
"7","குண்டலகேசி.","7"
"8","திருமுருகாற்றுப்படை & நெடுநல்வாடை","8"
"9","சிலப்பதிகாரம் & மணிமேகலை","9"
"10","பதினெண்கீழ்க்கணக்கு","10"
"11","சங்க இலக்கியம் & சிலப்பதிகாரம்","11"
"12","சங்க இலக்கியம் & திருக்குறள்","12"
"13","திருக்குறள்","13"
"14","முத்தொள்ளாயிரம்","14"
"15","நளவெண்பா","15"
"16","இறையனார் அகப்பொருள்","16"
"17","பெருங்கதை","17"
"18","கம்பராமாயணம்","18"
"19","பெரியபுராணம்","19"
"20","திருவாசகம்","20"
