"1","﻿அக்கப்போரு பிடிச்ச நாயி வைக்கப் போர்ல படுத்துக்கிட்டு தானும் திங்காதாம் திங்கிற கழுதையவும் திங்க விடாதாம்
","","1","_a_kka_ppOru piTi_cca nAyi vY_kka_p pO_rla paTu_ttu_kki_TTu tAVu_m ti_GkAtA_m ti_GkiRa kaZutYyavu_m ti_Gka viTAtA_m
"
"2","அக்கம்பக்கம் பார்த்துப் பேசு.
","","1","_a_kka_mpa_kka_m pA_r_ttu_p pEcu.
"
"3","அக்கரை மாட்டுக்கு இக்கரை பச்சை.
","","1","_a_kkarY mA_TTu_kku _i_kkarY pa_ccY.
"
"4","அக்காடு வெட்டி பஞ்சு விளைந்தால் என்றால் எனக்கொரு வேட்டி, உனக்கொரு வேட்டி என்றார்களாம்.
","","1","_a_kkATu ve_TTi pa_Jcu viLY_ntA_l _e_VRA_l _eVa_kkoru vE_TTi, _uVa_kkoru vE_TTi _e_VRA_rkaLA_m.
"
"5","அக்காடு வெட்டிப் பருத்தி விதைக்கிறேன் என்றால், அப்பா எனக்கொரு துப்பட்டி என்கிறான் மகன்.
","","1","_a_kkATu ve_TTi_p paru_tti vitY_kkiRE_V _e_VRA_l, _a_ppA _eVa_kkoru tu_ppa_TTi _e_VkiRA_V maka_V.
"
"6","அக்காள் ஆனாலும் சக்களத்தி சக்களத்திதான்.
","","1","_a_kkA_L _AVAlu_m ca_kkaLa_tti ca_kkaLa_ttitA_V.
"
"7","அக்காள் இருக்கிறவரை மச்சான் உறவு.
","","1","_a_kkA_L _iru_kkiRavarY ma_ccA_V _uRavu.
"
"8","அக்காளைப் பழித்து தங்கச்சி மோசம் போனாள்.
","","1","_a_kkALY_p paZi_ttu ta_Gka_cci mOca_m pOVA_L.
"
"9","அக்காளோடு போயிற்று அத்தான் உறவு.
","","1","_a_kkALOTu pOyi_RRu _a_ttA_V _uRavu.
"
"10","அகத்தி ஆயிரம் காய்த்தாலும் புறத்தி புறத்தியே 
","","1","_aka_tti _Ayira_m kA_y_ttAlu_m puRa_tti puRa_ttiyE 
"
"11","அகத்தின் அழகு முகத்தில் தெரியும்
","","1","_aka_tti_V _aZaku muka_tti_l teriyu_m
"
