"1","﻿அ"," (முதலெழுத்து) அஃறிணைப் பன்மையீறு, உதாரணம், வாழ்ந்தன, ஆறாவதன் பன்மையுருபு உ-ம், நினதாள்கள், சாரியை, உ-ம், க, நினக்கு, சுட்டு, உ-ம் அவன்
","சதுரகராதி - பெயரகராதி"
"2","அகங்காழ்"," உள்வயிரம்
","சதுரகராதி - பெயரகராதி"
"3","அகங்கை"," உள்ளங்கை
","சதுரகராதி - பெயரகராதி"
"4","அகடு"," உள்; நடு, பொல்லாங்கு, வயிறு
","சதுரகராதி - பெயரகராதி"
"5","அகணி"," உள்-மருதநிலம், வயல்
","சதுரகராதி - பெயரகராதி"
"6","அகணிதம்"," எண்ணிக்கை, பின்பை
","சதுரகராதி - பெயரகராதி"
"7","அகண்டம்"," எல்லாம்
","சதுரகராதி - பெயரகராதி"
"8","அகண்டாகண்டன்"," கடவுள்
","சதுரகராதி - பெயரகராதி"
"9","அகண்டி"," ஓர்வாச்சியம்
","சதுரகராதி - பெயரகராதி"
"10","அகத்தி"," ஓர்மரம்
","சதுரகராதி - பெயரகராதி"
"11","அகநிலை"," கடவுள்
","சதுரகராதி - பெயரகராதி"
"12","அகப்பா"," அகழி, பதிலுண்மேடைமதில்
","சதுரகராதி - பெயரகராதி"
"13","அகப்பு"," தாழ்வு
","சதுரகராதி - பெயரகராதி"
"14","அகமம்"," மரப்பொழுது
","சதுரகராதி - பெயரகராதி"
"15","அகமலாச்சி"," ஆநந்தம்
","சதுரகராதி - பெயரகராதி"
"16","அகம்","இடம், உள், ஏழுனுருபு, உ","சதுரகராதி - பெயரகராதி"
"17","அகம்மியம்"," ஓரெண்
","சதுரகராதி - பெயரகராதி"
"18","அகரம்"," பர்ப்பனச்சேரி, மருதநிலத்தூர், முதலெழுத்து
","சதுரகராதி - பெயரகராதி"
"19","அகரு"," அகில்
","சதுரகராதி - பெயரகராதி"
"20","அகலம்"," மார்பு, விரிவு
","சதுரகராதி - பெயரகராதி"
"21","அகலர்"," சண்டாளர்
","சதுரகராதி - பெயரகராதி"
"22","அகலல்"," நீங்கள், பிரிதல்
","சதுரகராதி - பெயரகராதி"
"23","அகலவுரை"," இலக்கணமுமிலக்கியமுமெடுத்துக்காட்டிப் பொருள் விரித்தல்
","சதுரகராதி - பெயரகராதி"
"24","அகலிடம்"," மூமி
","சதுரகராதி - பெயரகராதி"
"25","அகலியம்"," மரப்பொது
","சதுரகராதி - பெயரகராதி"
"26","அகலுள்"," அகலம், ஊர், நாடு, பெருமை
","சதுரகராதி - பெயரகராதி"
"27","அகல்"," அல்குல், தகழி, நீங்கென்னுமேவல்
","சதுரகராதி - பெயரகராதி"
"28","அகவல்"," அழைத்தல், ஆசிரியப்பா, ஆடல், மயிற்குரல், வியங்கோண்முற்று
","சதுரகராதி - பெயரகராதி"
"29","அகழி"," அகழ்
","சதுரகராதி - பெயரகராதி"
"30","அகழ்"," அகழி, தோண்டென்மேவல்
","சதுரகராதி - பெயரகராதி"
"31","அகழ்தல்"," தோண்டல்
","சதுரகராதி - பெயரகராதி"
"32","அகளங்கன்"," புத்தன், மாசிலான்
","சதுரகராதி - பெயரகராதி"
"33","அகளம்"," தாழி, மிடா
","சதுரகராதி - பெயரகராதி"
"34","அகளி"," தாழி
","சதுரகராதி - பெயரகராதி"
"35","அகறல்"," அகலம், கடத்தல்
","சதுரகராதி - பெயரகராதி"
"36","அகற்றல்"," நீக்கல், விரித்தல்
","சதுரகராதி - பெயரகராதி"
"37","அகனம்"," கனமில்லாதது
","சதுரகராதி - பெயரகராதி"
"38","அகன்றில்"," ஆணன்றில்
","சதுரகராதி - பெயரகராதி"
"39","அகாதம்"," நீந்துபுனல், வஞ்சகம்
","சதுரகராதி - பெயரகராதி"
"40","அகாதன்"," வஞ்சகன்
","சதுரகராதி - பெயரகராதி"
"41","அகாரம்"," முதெழுத்து, வீடு
","சதுரகராதி - பெயரகராதி"
"42","அகாரி"," கடவுள்
","சதுரகராதி - பெயரகராதி"
"43","அகி"," இரும்பு, பாம்பு
","சதுரகராதி - பெயரகராதி"
"44","அகிதம்"," இசமின்மை
","சதுரகராதி - பெயரகராதி"
"45","அகிதர்"," பகைவர்
","சதுரகராதி - பெயரகராதி"
"46","அகிலம்"," எல்லாம், பூமி
","சதுரகராதி - பெயரகராதி"
"47","அகில்"," ஓர்மரம்
","சதுரகராதி - பெயரகராதி"
"48","அகைத்தல்"," அடித்தல், அறுத்தல், எழுச்சி ஒடித்தல், செலுத்தல், முறித்துதல், வருந்துவல்
","சதுரகராதி - பெயரகராதி"
"49","அகோசரம்"," அறியொணாமை
","சதுரகராதி - பெயரகராதி"
"50","அகோரம்"," கொடுமை, சிவனைம்முகத்தொன்று
","சதுரகராதி - பெயரகராதி"
"51","அக்கசாலையர்"," கம்மாளர், தட்டார்
","சதுரகராதி - பெயரகராதி"
"52","அக்கம்"," கண், வயிறு
","சதுரகராதி - பெயரகராதி"
"53","அக்கரம்"," எழுத்து, ஓர்நோய்
","சதுரகராதி - பெயரகராதி"
"54","அக்கன்"," நாய்
","சதுரகராதி - பெயரகராதி"
"55","அங்காரம்"," சருக்கரை
","சதுரகராதி - பெயரகராதி"
"56","அக்கி"," கண்
","சதுரகராதி - பெயரகராதி"
"57","அக்கிரமம்"," கொடுமை
","சதுரகராதி - பெயரகராதி"
"58","அக்கினி"," தீ
","சதுரகராதி - பெயரகராதி"
"59","அக்கு"," எருதுத்திமில், எலும்பு, சங்குமணி
","சதுரகராதி - பெயரகராதி"
"60","அக்குரன்"," இடையெழுவள்ளலிலொருவன்
","சதுரகராதி - பெயரகராதி"
"61","அக்குரோணி"," படையின்றொகை
","சதுரகராதி - பெயரகராதி"
"62","அக்கை"," முன்பிறந்தாள்
","சதுரகராதி - பெயரகராதி"
"63","அக்கோ"," அதிசயச்சொல், இரக்கச்சொல்
","சதுரகராதி - பெயரகராதி"
"64","அஃகல்"," குறைதல், வியங்கோண்முன்று
","சதுரகராதி - பெயரகராதி"
"65","அஃகுல்வி "," உக்காரி, சிற்றுண்டி
","சதுரகராதி - பெயரகராதி"
"66","அஃபோதம்"," நிலாமுகிப்புள்
","சதுரகராதி - பெயரகராதி"
"67","அங்கசன்"," மன்மதன்
","சதுரகராதி - பெயரகராதி"
