"1","a","ஆங்கில மொழியின் அகர முதலில் வரும் முதலெழுத்து; ஓர், ஒரு; ஏதாகிலும்.
"
"2","aback","பின்புறமுள்ள
"
"3","abacus ","கணக்கிட உதவும் மணிகள் கோர்த்த மரச்சட்டக் கருவி, சீனா இதன் தாயகம்
"
"4","abactinal","சமச்சீர் ஆரமுள்ள கடல் உயிரி.
"
"5","abactrial","நுண்ணுயிரற்றது.
"
"6","abaft","கப்பலின் பின் பகுதி
"
"7","abattoir","மாட்டிறைச்சி வெட்டுமிடம்.
"
"8","abbreviate","சுருக்கி கட்டமை.
"
"9","abdomen","அடிவயிறு. இப்பகுதியில் சிறு குடல், பெருங்குடல், இரைப்பை இருக்கும்.
"
"10","abductor","முன்கைத்தசை, கையை நீட்ட மடக்க உதவும் மூன்று விரித்தசை.
"
"11","aberration","ஒளி பிறழ்ச்சி
"
"12","abet","தூண்டுதல், ஏவுதல்
"
"13","abhor","மன வெறுப்பு நிலை
"
"14","ability","போதுமான திறன் கொண்ட ஆளுமை.
"
"15","aboard","கப்பலின் மேற்தளம்.
"
"16","abomasum","விலங்கின் 4_ஆம் இரைப்பையின் பெயர்.
"
"17","abiogencsis","உயிர் வழி ஆக்கம்.
"
"18","abjection","விதைகளை, காம்பு தன்னிடமிருந்து நீக்கல்.
"
"19","aborigines","பழங்குடி மக்கள். எடு*
"
"20","abortion","கருச்சிதைவு ஏற்படுதல்.
"
"21","abrasives","உராய்வுப் பொருட்கள் கற்களை கடைய, கடின உருக்கொண்ட வைரம் பயன்படுத்தப்படுகிறது.
"
"22","abruptioplacents","கருக்குடை விலகல்.
"
"23","abscess","சீழ்க்கட்டி.
"
"24","abscission","உதிரும் நிலை. பருவம் எய்தியதும் தாவரத்திலிருந்து கனி தானாக கீழே விழுதல்
"
"25","absolute","தன்னியல்பானது.
"
